date,PRCP,TAVG,TMAX,TMIN,bio_year,doy,photoperiod,cp,gdd,site,ao_30d,ao_90d,nao_30d,nao_90d,oni_30d,oni_90d
2025-09-05,0.0,18.65,22.8,14.5,2025,248,14.205167092563057,0.0,0.0,vancouver,0.02263333333333314,0.40894444444444444,-0.07936666666666671,0.20385555555555562,,
2025-09-06,0.1,18.9,22.9,14.9,2025,249,14.140647803720482,0.0,0.0,vancouver,-0.03073333333333352,0.38061111111111107,-0.12843333333333334,0.19401111111111116,,
2025-09-07,0.0,18.5,21.1,15.9,2025,250,14.076154778286897,0.0,0.0,vancouver,-0.06956666666666685,0.3581333333333333,-0.1690666666666667,0.18482222222222228,,
2025-09-08,0.0,18.200000000000003,20.6,15.8,2025,251,14.011697784061228,0.0,0.0,vancouver,-0.06716666666666685,0.34881111111111107,-0.21173333333333338,0.17510000000000003,,
2025-09-09,0.0,17.8,20.6,15.0,2025,252,13.94728631161014,0.0,0.0,vancouver,-0.04366666666666685,0.35096666666666665,-0.247,0.16858888888888895,,
2025-09-10,0.0,17.65,20.9,14.4,2025,253,13.882929593180643,0.0,0.0,vancouver,-0.01840000000000018,0.3589555555555555,-0.28673333333333334,0.16080000000000005,,
2025-09-11,0.0,16.85,20.1,13.6,2025,254,13.818636621442812,0.0,0.0,vancouver,0.00999999999999982,0.36682222222222216,-0.34026666666666666,0.1463444444444445,,
2025-09-12,0.2,17.5,20.2,14.8,2025,255,13.754416168053519,0.0,0.0,vancouver,0.034166666666666484,0.36944444444444446,-0.39670000000000005,0.1304444444444445,,
2025-09-13,0.0,17.95,22.0,13.9,2025,256,13.690276802033491,0.0,0.0,vancouver,0.04203333333333315,0.3652777777777777,-0.4388,0.11938888888888893,,
2025-09-14,8.9,15.65,17.1,14.2,2025,257,13.626226907951006,0.0,0.0,vancouver,0.019633333333333156,0.3517888888888889,-0.4711,0.10805555555555561,,
2025-09-15,0.3,15.4,18.2,12.6,2025,258,13.562274703906622,0.0,0.0,vancouver,-0.010133333333333515,0.32919999999999994,-0.4895666666666667,0.09565555555555562,,
2025-09-16,0.0,19.1,24.5,13.7,2025,259,13.498428259314027,0.0,0.0,vancouver,-0.034300000000000185,0.30322222222222217,-0.4980666666666667,0.08307777777777783,,
2025-09-17,0.0,18.15,21.4,14.9,2025,260,13.434695512472818,0.0,0.0,vancouver,-0.04560000000000018,0.28435555555555553,-0.49133333333333334,0.07328888888888895,,
2025-09-18,0.0,15.75,18.3,13.2,2025,261,13.371084287929452,0.0,0.0,vancouver,-0.04596666666666684,0.2714444444444444,-0.46993333333333337,0.06358888888888893,,
2025-09-19,0.0,15.65,20.0,11.3,2025,262,13.307602313623066,0.0,0.0,vancouver,-0.04190000000000018,0.25797777777777775,-0.4478666666666667,0.05120000000000006,,
2025-09-20,4.4,16.55,21.2,11.9,2025,263,13.244257237813002,0.0,0.0,vancouver,-0.018933333333333517,0.2455444444444444,-0.4254666666666667,0.037522222222222276,,
2025-09-21,14.4,15.0,17.2,12.8,2025,264,13.181056645785127,0.0,0.0,vancouver,0.02589999999999982,0.23804444444444445,-0.40590000000000004,0.025600000000000057,,
2025-09-22,0.0,14.9,18.4,11.4,2025,265,13.118008076333869,0.0,0.0,vancouver,0.07269999999999982,0.23398888888888886,-0.39130000000000004,0.016877777777777832,,
2025-09-23,0.0,15.45,19.0,11.9,2025,266,13.05511903801698,0.0,0.0,vancouver,0.09776666666666649,0.23126666666666668,-0.38860000000000006,0.009622222222222277,,
2025-09-24,0.0,14.6,16.6,12.6,2025,267,12.992397025179601,0.0,0.0,vancouver,0.10826666666666648,0.23106666666666661,-0.38900000000000007,0.0057444444444445,,
2025-09-25,0.1,11.95,14.1,9.8,2025,268,12.929849533744093,0.0,0.0,vancouver,0.11513333333333314,0.23218888888888886,-0.38210000000000005,0.004788888888888944,,
2025-09-26,5.3,13.15,15.8,10.5,2025,269,12.867484076761475,0.0,0.0,vancouver,0.12939999999999982,0.23133333333333334,-0.36576666666666674,0.006522222222222277,,
2025-09-27,16.5,14.9,17.2,12.6,2025,270,12.80530819971999,0.0,0.0,vancouver,0.1104999999999998,0.2202333333333333,-0.3552333333333334,0.013311111111111164,,
